filenames,captions
"Road sign on the R639 north of Urlingford, Ireland - 20090502.jpg","[[File:Road sign on the R639 north of Urlingford, Ireland - 20090502.jpg|thumb|right|Road sign in Ireland, showing the Irish &quot;Latin alpha&quot; form of &quot;a&quot; in lower and upper case forms]]"
Pronunciation of the name of the letter ⟨a⟩ in European languages.png,"[[File:Pronunciation of the name of the letter ⟨a⟩ in European languages.png|thumb|Pronunciation of the name of the letter {{angbr|a}} in European languages, /a/ and /aː/ can differ phonetically between {{IPAblink|a}}, {{IPAblink|ä}}, {{IPAblink|æ}} and {{IPAblink|ɑ}} depending on the language.|305x305px]]"
A for apple.jpg,"[[File:A for apple.jpg|thumb|In English language education, the word ''[[apple]]'' is consistently associated with the letter A.&lt;ref&gt;{{cite journal |last1=Mankin |first1=Jennifer |last2=Simner |first2=Julia |date=May 30, 2017 |title=A Is for Apple: the Role of Letter-Word Associations in the Development of Grapheme-Colour Synaesthesia  |url=https://sussex.figshare.com/articles/journal_contribution/A_is_for_apple_the_role_of_letter-word_associations_in_the_development_of_grapheme-colour_synaesthesia/23444111/1/files/41154893.pdf |journal=Multisensory Research |volume=30 |issue=3–5 |pages=409–446 |doi= 10.1163/22134808-00002554|pmid=31287075 |access-date=December 16, 2023}}&lt;/ref&gt;]]"
Moundville Archaeological Site Alabama.jpg,[[File:Moundville Archaeological Site Alabama.jpg|thumb|left|The [[Moundville Archaeological Site]] in Hale County. It was occupied by Native Americans of the [[Mississippian culture]] from 1000 to 1450 CE.]]
Mississippiterritory.PNG,[[File:Mississippiterritory.PNG|thumb|upright=0.9]]
Thornhill 01.jpg,"[[File:Thornhill 01.jpg|thumb|right|The main house, built in 1833, at [[Thornhill (Forkland, Alabama)|Thornhill]] in Greene County. It is a former [[Black Belt (region of Alabama)|Black Belt]] plantation.]]"
Huntsville Courthouse Square 1864.jpg,"[[File:Huntsville Courthouse Square 1864.jpg|thumb|left|[[Union Army]] troops occupying Courthouse Square in Huntsville, following its capture and occupation by federal forces in 1864]]"
Birmingham Alabama skyline 1915.jpg,[[File:Birmingham Alabama skyline 1915.jpg|thumb|The developing skyline of Birmingham in 1915]]
Mount Sinai School Autauga County July 2011 1.jpg,"[[File:Mount Sinai School Autauga County July 2011 1.jpg|thumb|left|The former [[Mount Sinai School]] in rural Autauga County, completed in 1919. It was one of the 387 [[Rosenwald Schools]] built in the state.]]"
Map of Alabama terrain NA.jpg,[[File:Map of Alabama terrain NA.jpg|thumb|right]]
OnoIslandAl.jpg,"[[File:OnoIslandAl.jpg|thumb|right|[[Ono Island, Alabama|Ono Island]] in Baldwin County]]"
MonteSanoStateParkhsval.jpg,[[File:MonteSanoStateParkhsval.jpg|thumb|[[Monte Sano State Park]] in Huntsville]]
Cathedral Cavern 2019.png,"[[File:Cathedral Cavern 2019.png|thumb|right|[[Cathedral Caverns State Park|Cathedral Caverns]] in [[Marshall County, Alabama|Marshall County]]]]"
NaturalBridgeAl.jpg,"[[File:NaturalBridgeAl.jpg|thumb|left|The Natural Bridge Rock in [[Winston County, Alabama|Winston County]] is the longest natural bridge east of the Rockies.]]"
"Cliffs inside the Wetumpka impact crater in Wetumpka, Alabama.jpg","[[File:Cliffs inside the Wetumpka impact crater in Wetumpka, Alabama.jpg|thumb|right|Cliffs at the rim of the [[Wetumpka crater|Wetumpka meteorite crater]]]]"
Phil Campbell tornado damage.jpg,"[[File:Phil Campbell tornado damage.jpg|thumb|left|Tornado damage in [[Phil Campbell, Alabama|Phil Campbell]] following the statewide [[2011 Super Outbreak|April 27, 2011, tornado outbreak]]]]"
CahabaRiverNWR1.jpg,"[[File:CahabaRiverNWR1.jpg|thumb|A stand of [[Hymenocallis coronaria|Cahaba lilies]] (''Hymenocallis coronaria'') in the [[Cahaba River]], within the [[Cahaba River National Wildlife Refuge]]]]"
"A bronze replica (one-fifth size) of the Statue of Liberty, Birmingham, Alabama LCCN2010639411.tif","[[File:A bronze replica (one-fifth size) of the Statue of Liberty, Birmingham, Alabama LCCN2010639411.tif|thumb|right|upright=0.9|Statue of Liberty replica at Liberty Park in Vestavia Hills]]"
Dauphin St Mobile Al.jpg,[[File:Dauphin St Mobile Al.jpg|thumb|right|upright=0.9|Dauphin Street in Mobile]]
Lake Guntersville Lighthouse.jpg,[[File:Lake Guntersville Lighthouse.jpg|thumb|right|upright=0.9|Lighthouse on [[Guntersville Lake]]]]
Alabama population map.png,"[[File:Alabama population map.png|thumb|Alabama's population density, 2010]]"
Ethnic Origins in Alabama.png,[[File:Ethnic Origins in Alabama.png|thumb|Ethnic origins in Alabama]]
Highlands UMC Birmingham Dec 2012 2.jpg,"[[File:Highlands UMC Birmingham Dec 2012 2.jpg|thumb|Highlands United Methodist Church in Birmingham, part of the Five Points South Historic District]]"
Temple B'Nai Shalom Dec2009 01.jpg,"[[File:Temple B'Nai Shalom Dec2009 01.jpg|thumb|upright|[[Temple B'nai Sholom (Huntsville, Alabama)|Temple B'Nai Sholom]] in Huntsville, established in 1876. It is the oldest synagogue building in continuous use in the state.]]"
Islamic Center of Tuscaloosa.jpg,[[File:Islamic Center of Tuscaloosa.jpg|thumb|upright|The Islamic Center of Tuscaloosa]]
RTJattheshoals.jpg,[[File:RTJattheshoals.jpg|thumb|left|The [[Robert Trent Jones Golf Trail]] has a large economic impact on the state.]]
Center Court of the Riverchase Galleria.jpg,"[[File:Center Court of the Riverchase Galleria.jpg|thumb|upright|The [[Riverchase Galleria]] in Hoover, one of the largest shopping centers in the southeast]]"
Enterprise lifted.jpg,[[File:Enterprise lifted.jpg|thumb|upright|The [[Space Shuttle Enterprise|Space Shuttle ''Enterprise'']] being tested at Marshall Space Flight Center in 1978]]
Hyundai Motor Manufacturing Alabama Highsmith 01.jpg,[[File:Hyundai Motor Manufacturing Alabama Highsmith 01.jpg|thumb|Hyundai Motor Manufacturing Alabama in Montgomery in 2010]]
Shelbyhallcomputing.JPG,"[[File:Shelbyhallcomputing.JPG|thumb|Shelby Hall, School of Computing, at the [[University of South Alabama]] in Mobile]]"
Mercedes Benz US International 01.jpg,[[File:Mercedes Benz US International 01.jpg|thumb|[[Mercedes-Benz U.S. International]] in Tuscaloosa County was the first automotive facility to locate within the state.]]
Airbus Mobile Engineering Center.jpg,[[File:Airbus Mobile Engineering Center.jpg|thumb|left|Airbus Mobile Engineering Center at the Brookley Aeroplex in Mobile]]
"Orange Beach, Alabama.jpg","[[File:Orange Beach, Alabama.jpg|thumb|Alabama's beaches are one of the state's major tourist destinations.]]"
Mardi&amp;nbsp;Gras&amp;nbsp;Mobile&amp;nbsp;Order of Inca.jpg,[[File:Mardi&amp;nbsp;Gras&amp;nbsp;Mobile&amp;nbsp;Order of Inca.jpg|thumb|left|upright|Mobile is the birthplace of Mardi Gras in the U.S.]]
Birmingham skyscrapers Nov 2011.jpg,"[[File:Birmingham skyscrapers Nov 2011.jpg|thumb|[[Regions-Harbert Plaza]], [[Regions Center (Birmingham)|Regions Center]], and [[Wells Fargo Tower (Birmingham)|Wells Fargo Tower]] in Birmingham's financial district]]"
Alabama Capitol Building.jpg,"[[File:Alabama Capitol Building.jpg|thumb|The [[Alabama State Capitol|State Capitol Building]] in Montgomery, completed in 1851]]"
Ala Supreme Court Building Feb 2012 01.jpg,"[[File:Ala Supreme Court Building Feb 2012 01.jpg|thumb|The [[Alabama Judicial Building|Heflin-Torbert Judicial Building]] in Montgomery. It houses the [[Supreme Court of Alabama]], [[Alabama Court of Civil Appeals]], and [[Alabama Court of Criminal Appeals]].]]"
Portrait-Governor-Kay-Ivey.jpg,[[File:Portrait-Governor-Kay-Ivey.jpg|thumb|upright|[[Republican Party (United States)|Republican]] [[Kay Ivey]] is the [[governor of Alabama]] as of 2021.]]
Doug Jones Biden Event.jpg,[[File:Doug Jones Biden Event.jpg|thumb|Senator [[Doug Jones (politician)|Doug Jones]] won a [[2017 United States Senate special election in Alabama|special election]] in 2017.]]
Vestavia Hills High School.jpg,[[File:Vestavia Hills High School.jpg|thumb|right|[[Vestavia Hills High School]] in the suburbs of Birmingham]]
Harrison-plaza2.jpg,[[File:Harrison-plaza2.jpg|thumb|left|Harrison Plaza at the [[University of North Alabama]] in Florence. The school was chartered as LaGrange College by the [[Alabama Legislature]] in 1830.]]
William J. Samford Hall.jpg,[[File:William J. Samford Hall.jpg|thumb|right|William J. Samford Hall at [[Auburn University]]]]
"Bryant–Denny Stadium, Tuscaloosa AL, North view 20160714 1.jpg","[[File:Bryant–Denny Stadium, Tuscaloosa AL, North view 20160714 1.jpg|thumb|right|[[Bryant–Denny Stadium]] at the [[University of Alabama]] in Tuscaloosa]]"
RegionsFieldBham.png,[[File:RegionsFieldBham.png|thumb|[[Regions Field]] in Birmingham]]
Aerial view of Von Braun Center.jpg,[[File:Aerial view of Von Braun Center.jpg|thumb|[[Von Braun Center]] in Huntsville]]
Birmingham–Jefferson Convention Complex tennis.jpg,[[File:Birmingham–Jefferson Convention Complex tennis.jpg|thumb|[[Birmingham–Jefferson Convention Complex]] in Birmingham]]
Montgomery Regional Airport New Terminal.JPG,[[File:Montgomery Regional Airport New Terminal.JPG|thumb|Terminal at the [[Montgomery Regional Airport]] in Montgomery]]
I20I59Birmingham.JPG,[[File:I20I59Birmingham.JPG|thumb|[[Interstate 59]] (co-signed with [[Interstate 20]]) approaching [[Interstate 65]] in downtown Birmingham]]
Mobile Alabama harbor aerial view.jpg,[[File:Mobile Alabama harbor aerial view.jpg|thumb|Aerial view of the port of Mobile]]
Peter Paul Rubens 181.jpg,"[[File:Peter Paul Rubens 181.jpg|thumb|''Thetis Dipping the Infant Achilles into the River Styx'' by [[Peter Paul Rubens]] ({{c.|1625|lk=no}}; [[Museum Boijmans Van Beuningen]], Rotterdam)|left|241x241px]]"
The Education of Achilles 1862 Delacroix.jpg,"[[File:The Education of Achilles 1862 Delacroix.jpg|thumb|''The Education of Achilles'', by [[Eugène Delacroix]], pastel on paper, {{c.|1862|lk=no}} ([[Getty Center]], Los Angeles)]]"
"The Education of Achilles, by James Barry.jpg","[[File:The Education of Achilles, by James Barry.jpg|thumb|''The Education of Achilles'' ({{Circa|1772}}), by [[James Barry (painter)|James Barry]] ([[Yale Center for British Art]])]]None of the sources before Statius make any reference to this general invulnerability. To the contrary, in the ''Iliad'', Homer mentions Achilles being wounded: in Book 21 the [[Paeonia (kingdom)|Paeonian]] hero [[Asteropaios]], son of [[Pelagon]], challenged Achilles by the river [[Scamander]]. He was ambidextrous, and cast a spear from each hand; one grazed Achilles' elbow, &quot;drawing a spurt of blood&quot;.&lt;ref&gt;{{cite book |author1=Homer (Robert Fagles translation) |title=The Iliad |page=525 |quote=But the other (spear) grazed Achilles' strong right arm and dark blood gushed as the spear shot past his back}}&lt;/ref&gt; In the few fragmentary poems of the [[Epic Cycle]] which describe the hero's death (i.e. the ''[[Cypria]]'', the ''[[Little Iliad]]'' by [[Lesches|Lesches of Pyrrha]], the ''[[Aethiopis]]'' and ''[[Iliupersis]]'' by [[Arctinus of Miletus]]), there is no trace of any reference to his general invulnerability or his famous weakness at the heel. In the later vase paintings presenting the death of Achilles, the arrow (or in many cases, arrows) hit his torso."
Achilleus Lyra.jpg,"[[File:Achilleus Lyra.jpg|thumb|[[Chiron]] teaching Achilles how to play the [[lyre]], Roman [[fresco]] from [[Herculaneum]], 1st century AD]]"
Gaziantep Zeugma Museum Achilles mosaic in 2011 2098.jpg,"[[File:Gaziantep Zeugma Museum Achilles mosaic in 2011 2098.jpg|thumb|A [[Roman mosaic]] from the Poseidon Villa in [[Zeugma, Commagene]] (now in the [[Zeugma Mosaic Museum]]) depicting Achilles disguised as a woman and [[Odysseus]] tricking him into revealing himself]]"
Achilles by Lycomedes Louvre Ma2120.jpg,"[[File:Achilles by Lycomedes Louvre Ma2120.jpg|thumb|A marble representation of Achilles at the court of King [[Lycomedes]], ca. 240 CE.|306x306px]]"
Achilles slaying Troilus.PNG,"[[File:Achilles slaying Troilus.PNG|thumb|left|Achilles slaying Troilus, red-figure kylix signed by [[Euphronios]]]]"
Achilles Agamemnon Pompei mosaic NAMNaples 10006.jpg,"[[File:Achilles Agamemnon Pompei mosaic NAMNaples 10006.jpg|thumb|Achilles and [[Agamemnon]], from a [[mosaic]] from [[Pompeii]], 1st century AD]]"
Wall painting - Briseis taken away from Achilles - Pompeii (VI 8 5) - Napoli MAN 9105 - 01.jpg,"[[File:Wall painting - Briseis taken away from Achilles - Pompeii (VI 8 5) - Napoli MAN 9105 - 01.jpg|thumb|Achilles cedes [[Briseis]] to [[Agamemnon]], from the [[House of the Tragic Poet]] in [[Pompeii]], fresco, 1st century AD ([[Naples National Archaeological Museum]])]]"
The Rage of Achilles by Giovanni Battista Tiepolo.jpeg,"[[File:The Rage of Achilles by Giovanni Battista Tiepolo.jpeg|thumb|left|''The Rage of Achilles'', fresco by [[Giovanni Battista Tiepolo]] (1757, Villa Valmarana ai Nani, Vicenza)]]"
The_Triumph_of_Achilles_by_Franz_von_Matsch.jpg,"[[File:The_Triumph_of_Achilles_by_Franz_von_Matsch.jpg|thumb|upright=1.7|''The Triumph of Achilles'', fresco by [[Franz von Matsch]] in the [[Achilleion (Corfu)|Achilleion]], [[Greece]].]]"
Akhilleus Memnon Staatliche Antikensammlungen 1410.jpg,"[[File:Akhilleus Memnon Staatliche Antikensammlungen 1410.jpg|thumb|Achilles and Memnon fighting, between Thetis and Eos, Attic black-figure amphora, {{Circa|510 BC}}, from Vulci]]"
Akhilleus Patroklos Antikensammlung Berlin F2278.jpg,"[[File:Akhilleus Patroklos Antikensammlung Berlin F2278.jpg|thumb|Achilles tending Patroclus wounded by an arrow, Attic red-figure [[kylix]], {{Circa|500 BC}} ([[Altes Museum]], Berlin)]]"
Closeup of Achilles thniskon in Corfu Achilleion autocorrected.JPG,[[File:Closeup of Achilles thniskon in Corfu Achilleion autocorrected.JPG|thumb|left|''Dying Achilles'' (Achilleas thniskon) in the gardens of the Achilleion]]
Aias body Akhilleus Staatliche Antikensammlungen 1884.jpg,"[[File:Aias body Akhilleus Staatliche Antikensammlungen 1884.jpg|thumb|right|Ajax carries off the body of Achilles, [[Attica|Attic]] black-figure [[lekythos]] from Sicily, {{Circa|510 BC}} ([[Staatliche Antikensammlungen]], Munich)]]"
Odysseus Ajax Louvre F340.jpg,"[[File:Odysseus Ajax Louvre F340.jpg|thumb|left|Oinochoe, ''ca'' 520 BC, [[Ajax the Great|Ajax]] and [[Odysseus]] fighting over the armour of Achilles]]"
Tumulus_of_Achilles_and_sacrifice_of_Polyxena.jpg,"[[File:Tumulus_of_Achilles_and_sacrifice_of_Polyxena.jpg|thumb|Sacrifice of Polyxena and tumulus-shaped tomb of Achilles with a [[Sacrificial tripod#Ancient Greece|tripod]] in front, on the [[Polyxena sarcophagus]], {{circa|500|lk=no}} BC.&lt;ref name=&quot;CBR79&quot;&gt;{{cite book |last1=Rose |first1=Charles Brian |title=The Archaeology of Greek and Roman Troy |date=2014 |publisher=Cambridge University Press |isbn=9780521762076 |page=79 |url=https://books.google.com/books?id=Y9gaAgAAQBAJ&amp;pg=PA79 |language=en}}&lt;/ref&gt;]]"
Achilles Troilus MAN Napoli Inv5999.jpg,"[[File:Achilles Troilus MAN Napoli Inv5999.jpg|thumb|Roman statue of a man with the dead body of a boy, identified as Achilles and Troilus, 2nd century AD ([[Naples National Archaeological Museum]])]]{{See also|Heroön}}{{multiple image| align = right | direction = vertical | header = | header_align = left/right/center | footer = | width1 = 220 | caption1  = [[Achilles on Skyros]], where&amp;nbsp;– according to the ''[[Achilleid]]''&amp;nbsp;– [[Odysseus]] discovers him dressed as a woman and hiding among the princesses of the royal court, late Roman [[mosaic]] from [[La Olmeda]], Spain, 4th–5th centuries AD | footer_align = left | image1 = 05-Mosaico del Oecus. Aquiles en Skyros alta.jpg | image2 = Achilles at Skyros, Mosaic, Villa La Olmeda, 4th century AD.jpg | width2 = 220| caption2  = Detail of Achilles}}"
Wenceslas Hollar - Briseis and Achilles.jpg,"[[File:Wenceslas Hollar - Briseis and Achilles.jpg|thumb|right|''Briseis and Achilles'', engraving by [[Wenceslaus Hollar]] (1607–1677)]]"
Peter Paul Rubens - The Wrath of Achilles - Google Art Project.jpg,"[[File:Peter Paul Rubens - The Wrath of Achilles - Google Art Project.jpg|thumb|''The Wrath of Achilles'' ({{c.|1630|lk=no}}–1635), painting by [[Peter Paul Rubens]]]]"
Peter Paul Rubens 003.jpg,"[[File:Peter Paul Rubens 003.jpg|thumb|''The death of Hector'', unfinished oil painting by [[Peter Paul Rubens]]]]"
Gottlieb Schick Achille and Agamemnon 1801.jpg,[[File:Gottlieb Schick Achille and Agamemnon 1801.jpg|thumb|upright=1.3|Achilles and Agamemnon by Gottlieb Schick (1801)]]
Leon Benouville The Wrath of Achilles.jpg,"[[File:Leon Benouville The Wrath of Achilles.jpg|thumb|''The Wrath of Achilles'', by [[François-Léon Benouville]] (1847; [[Musée Fabre]])]]"
Log Cabin at the Lincoln Living Historical Farm.jpg,"[[File:Log Cabin at the Lincoln Living Historical Farm.jpg|thumb|The farm site where Lincoln grew up in [[Spencer County, Indiana]]]]"
Abes House.JPG,"[[File:Abes House.JPG|thumb|Lincoln's home in [[Springfield, Illinois]]]]"
"Abraham Lincoln by Nicholas Shepherd, 1846-crop.jpg","[[File:Abraham Lincoln by Nicholas Shepherd, 1846-crop.jpg|thumb|upright|alt=Middle-aged clean-shaven Lincoln from the hips up.|Lincoln in his late 30s as a member of the [[United States House of Representatives|U.S. House of Representatives]]. Photo taken by one of Lincoln's law students around 1846.]]"
"Abraham Lincoln by Hesler, 1857.jpg","[[File:Abraham Lincoln by Hesler, 1857.jpg|thumb|left|upright|Lincoln in 1857]]"
"Abraham Lincoln by Byers, 1858 - crop.jpg","[[File:Abraham Lincoln by Byers, 1858 - crop.jpg|thumb|upright|Lincoln in 1858, the year of [[Lincoln–Douglas debates|his debates]] with [[Stephen A. Douglas|Stephen Douglas]] over slavery]]"
"Lincoln O-17 by Brady, 1860.png","[[File:Lincoln O-17 by Brady, 1860.png|thumb|left|''Abraham Lincoln'', a portrait by [[Mathew Brady]] taken February 27, 1860, the day of Lincoln's [[Cooper Union speech]]]]"
"Abraham Lincoln O-55, 1861-crop.jpg","[[File:Abraham Lincoln O-55, 1861-crop.jpg|thumb|left|alt=President Abraham Lincoln in 1861|President Lincoln in 1861]]"
RunningtheMachine-LincAdmin.jpg,"[[File:RunningtheMachine-LincAdmin.jpg|thumb|alt=A group of men sitting at a table as another man creates money on a wooden machine.|''Running the Machine'': an 1864 political cartoon satirizing Lincoln's administration – featuring [[William Fessenden]], [[Edwin Stanton]], [[William H. Seward|William Seward]], [[Gideon Welles]], Lincoln, and others]]"
