title,filenames,captions
Alabama,Mobile Alabama harbor aerial view.jpg,mobil alabama harbor aerial view aerial view port mobil
Achilles,Peter Paul Rubens 181.jpg,peter paul ruben theti dip infant achil river styx peter paul ruben lk museum boijman van beuningen rotterdam
Achilles,The Education of Achilles 1862 Delacroix.jpg,educ achil delacroix educ achil eugèn delacroix pastel paper lk getti lo angel
Achilles,"The Education of Achilles, by James Barry.jpg",educ achil jame barri educ achil circa jame barri painter jame barri yale british art sourc statiu make refer gener invulner contrari iliad homer mention achil wound book paeonia kingdom paeonian hero asteropaio son pelagon challeng achil river scamand ambidextr cast spear hand graze achil elbow quot draw spurt blood quot lt ref gt cite book homer robert fagl translat titl iliad page quot spear graze achil strong arm dark blood gush spear shot past back lt ref gt fragmentari poem epic cycl describ hero' death cypria iliad lesch lesch pyrrha aethiopi iliupersi arctinu miletu trace refer gener invulner famou weak heel vase paint present death achil arrow case arrow hit torso
Achilles,Achilleus Lyra.jpg,achilleu lyra chiron teach achil play lyre roman fresco herculaneum centuri ad
Achilles,Gaziantep Zeugma Museum Achilles mosaic in 2011 2098.jpg,gaziantep zeugma museum achil mosaic roman mosaic poseidon villa zeugma commagen zeugma mosaic museum depict achil disguis woman odysseu trick reveal
Achilles,Achilles by Lycomedes Louvre Ma2120.jpg,achil lycomed louvr marbl represent achil court king lycomed ca ce
Achilles,Achilles slaying Troilus.PNG,achil slay troilu achil slay troilu red figur kylix sign euphronio
Achilles,Achilles Agamemnon Pompei mosaic NAMNaples 10006.jpg,achil agamemnon pompei mosaic namnapl achil agamemnon mosaic pompeii centuri ad
Achilles,Wall painting - Briseis taken away from Achilles - Pompeii (VI 8 5) - Napoli MAN 9105 - 01.jpg,wall paint brisei achil pompeii vi napoli man achil cede brisei agamemnon hous tragic poet pompeii fresco centuri ad napl nation archaeolog museum
Achilles,The Rage of Achilles by Giovanni Battista Tiepolo.jpeg,rage achil giovanni battista tiepolo rage achil fresco giovanni battista tiepolo villa valmarana ai nani vicenza
Achilles,The_Triumph_of_Achilles_by_Franz_von_Matsch.jpg,triumph achil franz von matsch upright triumph achil fresco franz von matsch achilleion corfu achilleion greec
Achilles,Akhilleus Memnon Staatliche Antikensammlungen 1410.jpg,akhilleu memnon staatlich antikensammlungen achil memnon fight theti eo attic black figur amphora circa bc vulci
Achilles,Akhilleus Patroklos Antikensammlung Berlin F2278.jpg,akhilleu patroklo antikensammlung berlin achil tend patroclu wound arrow attic red figur kylix circa bc alt museum berlin
Achilles,Closeup of Achilles thniskon in Corfu Achilleion autocorrected.JPG,closeup achil thniskon corfu achilleion autocorrect die achil achillea thniskon garden achilleion
Achilles,Aias body Akhilleus Staatliche Antikensammlungen 1884.jpg,aia bodi akhilleu staatlich antikensammlungen ajax carri bodi achil attica attic black figur lekytho sicili circa bc staatlich antikensammlungen munich
Achilles,Odysseus Ajax Louvre F340.jpg,odysseu ajax louvr oinocho ca bc ajax great ajax odysseu fight armour achil
Achilles,Tumulus_of_Achilles_and_sacrifice_of_Polyxena.jpg,tumulu achil sacrific polyxena sacrific polyxena tumulu shape tomb achil sacrifici tripod ancient greec tripod front polyxena sarcophagu circa lk bc lt ref quot quot gt cite book rose charl brian titl archaeolog greek roman troy date publish cambridg univers press isbn page url http book googl book id amp pg languag en lt ref gt
Achilles,Achilles Troilus MAN Napoli Inv5999.jpg,achil troilu man napoli roman statu man dead bodi boy identifi achil troilu centuri ad napl nation archaeolog museum heroön multipl imag align direct vertic header header align footer achil skyro amp nbsp achilleid amp nbsp odysseu discov dress woman hide princess royal court late roman mosaic la olmeda spain centuri ad footer align mosaico del oecu aquil en skyro alta achil skyro mosaic villa la olmeda centuri ad detail achil
Achilles,Wenceslas Hollar - Briseis and Achilles.jpg,wencesla hollar brisei achil brisei achil engrav wenceslau hollar
Achilles,Peter Paul Rubens - The Wrath of Achilles - Google Art Project.jpg,peter paul ruben wrath achil googl art project wrath achil lk paint peter paul ruben
Achilles,Peter Paul Rubens 003.jpg,peter paul ruben death hector unfinish oil paint peter paul ruben
Achilles,Gottlieb Schick Achille and Agamemnon 1801.jpg,gottlieb schick achil agamemnon upright achil agamemnon gottlieb schick
Achilles,Leon Benouville The Wrath of Achilles.jpg,leon benouvil wrath achil wrath achil françoi léon benouvil musé fabr
Abraham Lincoln,Log Cabin at the Lincoln Living Historical Farm.jpg,log cabin lincoln live histor farm farm site lincoln grew spencer counti indiana
Abraham Lincoln,Abes House.JPG,abe hous lincoln' home springfield illinoi
Abraham Lincoln,"Abraham Lincoln by Nicholas Shepherd, 1846-crop.jpg",abraham lincoln nichola shepherd crop upright alt middl age clean shaven lincoln hip lincoln late member unit state hous repres hous repres photo lincoln' law student
Abraham Lincoln,"Abraham Lincoln by Hesler, 1857.jpg",abraham lincoln hesler upright lincoln
Abraham Lincoln,"Abraham Lincoln by Byers, 1858 - crop.jpg",abraham lincoln byer crop upright lincoln year lincoln dougla debat debat stephen dougla stephen dougla slaveri
Abraham Lincoln,"Lincoln O-17 by Brady, 1860.png",lincoln bradi abraham lincoln portrait mathew bradi februari day lincoln' cooper union speech
Abraham Lincoln,"Abraham Lincoln O-55, 1861-crop.jpg",abraham lincoln crop alt presid abraham lincoln presid lincoln
Abraham Lincoln,RunningtheMachine-LincAdmin.jpg,runningthemachin lincadmin alt group men sit tabl man creat money wooden machin run machin polit cartoon satir lincoln' administr featur william fessenden edwin stanton william seward william seward gideon well lincoln
Abraham Lincoln,"Lincoln's Gettysburg Address, Gettysburg, highlighted version.png",lincoln' gettysburg address gettysburg highlight version upright lincoln absent usual top hat highlight red gettysburg battlefield gettysburg novemb roughli hour deliv gettysburg address speech histori unit state american histori lt ref gt cite book conant sean date titl gettysburg address perspect lincoln' greatest speech url http book googl book id bmybwaaqbaj amp pg locat york publish oxford univers press page ix isbn lt ref gt lt ref gt cite book holsing paul date titl war american popular cultur histor encyclopedia url http book googl book id amp pg locat westport ct publish greenwood press page isbn lt ref gt alt larg group peopl
Abraham Lincoln,ElectoralCollege1864.svg,upright alt map show lincoln win union state kentucki jersey delawar southern state includ elector colleg unit state elector landslid lincoln red elect southern state brown territori gray play
Abraham Lincoln,Republican presidential ticket 1864b.jpg,republican presidenti ticket poster elect campaign andrew johnson candid vice presid
Abraham Lincoln,Abraham Lincoln second inaugural address.jpg,abraham lincoln inaugur address alt larg crowd front larg build pillar lincoln' abraham lincoln' inaugur address inaugur address complet capitol build march
Abraham Lincoln,Lincoln and Johnsond.jpg,lincoln johnsond alt cartoon lincoln johnson attempt stitch broken union polit cartoon vice presid andrew johnson tailor lincoln entitl rail splitter work repair union caption read johnson quot quietli uncl abe draw closer quot lincoln quot stitch andi good union mend quot
Abraham Lincoln,Lincoln assassination slide c1900 - Restoration.jpg,lincoln assassin slide restor alt paint lincoln shot booth sit theater booth shown presidenti booth ford' theatr assassin john wilk booth abraham lincoln mari todd lincoln clara harri henri rathbon
Abraham Lincoln,AbrahamLincolnOilPainting1869Restored.jpg,upright alt lincoln sit hand chin elbow leg abraham lincoln heali abraham lincoln paint georg peter alexand heali
Abraham Lincoln,"Abraham Lincoln O-116 by Gardner, 1865-crop.png",abraham lincoln gardner crop upright alt older tire abraham lincoln beard lincoln februari month death
Aristotle,20160518 092 mieza nympheum.jpg,mieza nympheum school aristotl mieza macedonia mieza macedonia greec macedonia greec
Aristotle,Aristotle_tutoring_Alexander.jpg,aristotl tutor alexand upright quot aristotl tutor alexand quot jean leon gerom ferri
Aristotle,Aristoteles Louvre.jpg,aristotel louvr upright bust sculptur portrait bust aristotl roman empir imperi roman centuri ce copi lost bronz sculptur made lysippo
Aristotle,Modus Barbara Equations.svg,amp nbsp amp nbsp amp nbsp amp nbsp men mortal lt br gt lt br gt amp nbsp amp nbsp amp nbsp amp nbsp greek men lt br gt lt br gt sign greek mortal lt br gt lt br gt lt br gt lt br gt modu barbara equat
Aristotle,Sanzio 01 Plato Aristotle.jpg,sanzio plato aristotl upright plato aristotl raphael fresco school athen aristotl hold nicomachean ethic gestur earth repres view imman realism whilst plato gestur heaven indic theori form hold timaeu dialogu timaeu sfn school athen sfn stewart
Aristotle,Platonic and Aristotelian Forms.svg,platon aristotelian form upright plato theori form form exist univers ideal form appl aristotl matter form belong individu thing hylomorph
Aristotle,Flute-player dolphin Alcesti Group MAN.jpg,flute player dolphin alcesti group man aristotl argu capabl play flute acquir potenti actual aristotl potenti made actual learn
Aristotle,Four Classical Elements in Burning Log.svg,classic element burn log classic element fire air water earth empedocl aristotl illustr burn log log releas element destroy
Aristotle,Aristotle's laws of motion.svg,aristotle' law motion upright aristotle' law motion physic aristotl physic state object fall speed proport weight invers proport densiti fluid immers sfn drabkin pp correct approxim object earth' gravit field move air water sfn rovelli pp
Aristotle,Aristotle's Four Causes of a Table.svg,aristotle' tabl upright aristotl argu analog woodwork thing take form case tabl wood materi design formal tool techniqu effici decor practic purpos final sfn leroi page
Aristotle,Aerial image of Stromboli (view from the northeast).jpg,aerial imag stromboli view northeast aristotl note ground level aeolian island chang volcan erupt
Aristotle,Tremoctopus violaceus5.jpg,tremoctopu upright pioneer zoolog observ aristotl reproduct hectocotylu hectocotyl arm octopu bottom
Aristotle,Two of Aristotle's Growth Laws.svg,aristotle' growth law upright aristotl infer growth law observ anim includ brood size decreas bodi mass gestat period increas correct predict mammal data shown mous eleph
Aristotle,Scyliorhinus retifer embryo.JPG,scyliorhinu retif embryo aristotl record embryo mustelu cani lt speci shown gt dogfish attach cord kind placenta yolk sac higher anim form except linear scale highest lowest sfn leroi page
Aristotle,Aristotelian Soul.png,aristotelian soul upright aristotl propos part soul aristotl structur soul plant anim human make human uniqu type soul
Aristotle,Aristotle Senses Perception Memory Dreams Action.svg,aristotl sens percept memori dream action upright sens percept memori dream action aristotle' psycholog impress store sensorium heart link law associ similar contrast contigu psycholog contigu
Aristotle,Aristotle's constitutions.svg,aristotle' constitut upright aristotle' classif polit constitut
Aristotle,"Bénigne Gagneraux, The Blind Oedipus Commending his Children to the Gods.jpg",bénign gagneraux blind oedipu commend children god upright blind oedipu commend children god bénign gagneraux poetic aristotl poetic aristotl tragedi oedipu rex oedipu tyrannu sophocl perfect tragedi structur gener good protagonist start play prosper lose hamartia fault sfn kaufmann page
Aristotle,161Theophrastus 161 frontespizio.jpg,frontespizio upright book frontispiec frontispiec version theophrastu historia plantarum theophrastu historia plantarum origin written bce
Aristotle,"Ibn_Bakhtīshūʿ,_Kitāb_naʿt_al-ḥayawān_probably_Baghdad,_c._1225._London,_British_Library,_Or._2784,_A_student_sitting_with_Aristotle_(right).jpg",ibn bakhtīshūʿ kitāb naʿt al ḥayawān baghdad london british librari student sit aristotl upright islam portray aristotl kitāb naʿt al ḥayawān circa lt ref gt cite book contadini anna titl world beast thirteenth centuri illustr arab book anim kitāb na't al ḥayawān ibn bakhtīshū tradit date januari doi publish brill url http doi org page lt ref gt
Aristotle,William Harvey ( 1578-1657) Venenbild.jpg,william harvey venenbild william harvey exercitatio anatomica de motu cordi sanguini animalibu de motu cordi show circul blood blood circul contrari classic era think
Aristotle,Aristotelis De Moribus ad Nicomachum.jpg,aristot de moribu ad nicomachum upright page edit nicomachean ethic greek latin
Academy Awards,DSC 7227 Музей кино.jpg,dsc музей кино plaster war time oscar plaqu state central museum cinema moscow ru государственный центральный музей кино ru
Academy Awards,31st Acad Awards.jpg,acad award academi award present lt br gt pantag theatr hollywood pantag theatr hollywood
Academy Awards,81st Academy Awards Ceremony.JPG,academi award ceremoni academi award present lt br gt dolbi theatr hollywood
Academy Awards,Dolby Theatre Oscars Los Angeles USA Mar23 IMG 8321.jpg,dolbi theatr oscar lo angel usa img academi award dolbi theatr hollywood lo angel hollywood
Academy Awards,"Academy Awards Viewership 1974-2023, in millions.png",academi award viewership million academi award viewership million lt ref gt cite web url http www statista statist academi award number viewer text number amp text million titl oscar viewership year lt ref gt lt ref gt cite web url http tvbythenumb blockbust pictur expect academi award viewership fall rate histori guess year poll titl academi award tv rate histori rate amp tvbythenumb date decemb archiv url http web archiv org web http tvbythenumb blockbust pictur expect academi award viewership fall rate histori guess year poll archiv date decemb lt ref gt
Altruism,Belisaire demandant l'aumone Jacques-Louis David.jpg,belisair demand l'aumon jacqu loui david give alm poor consid altruist action
Altruism,"Manner of Francis Wheatley, Giving alms to beggar children.jpg",manner franci wheatley give alm beggar children upright give alm beggar children
Altruism,FEMA - 15337 - Photograph by Andrea Booher taken on 09-10-2005 in Texas.jpg,fema photograph andrea booher texa volunt assist hurrican victim houston astrodom hurrican katrina
Altruism,Helping the homeless (cropped).jpg,help homeless crop help homeless homeless york citi
Altruism,"Peace Corps Volunteer swearing in Cambodia, 2007.jpg",peac corp volunt swear cambodia peac corp traine swear volunt cambodia april
Altruism,Monks collecting alms - Bun Vat Phu.JPG,monk collect alm bun vat phu monk collect alm
Altruism,Ahinsa.jpg,ahinsa sculptur depict jain concept transliter sa ahimsa injuri
Ayn Rand,Pola Negri by Ayn Rand cover.jpg,pola negri ayn rand cover upright alt book cover black white draw text russian rand' publish work monograph russian actress pola negri
Ayn Rand,Night of January 16th jury flyer front.jpg,night januari juri flyer front upright alt poster play night januari rand' play night januari amp nbsp open broadway
Ayn Rand,The Fountain Head (1943 1st ed) - Ayn Rand.jpg,fountain head ed ayn rand upright alt front cover fountainhead fountainhead rand' bestsel
Ayn Rand,Famous fantastic mysteries 195306.jpg,famou fantast mysteri upright alt magazin cover man hold lightn bolt rand' novella anthem reprint june issu pulp magazin famou fantast mysteri lt ref gt ralston richard quot publish anthem quot harvnb mayhew lt ref gt
Ayn Rand,Ayn Rand Marker.jpg,ayn rand marker alt twin graveston frank o'connor ayn rand o'connor grave marker rand husband kensico cemeteri valhalla york sfn heller
Ayn Rand,Victor Hugo by Étienne Carjat 1876 - full.jpg,victor hugo étienn carjat full upright alt photo victor hugo rand admir novel victor hugo
Ayn Rand,Ayn Rand (1957 Phyllis Cerf portrait).jpg,ayn rand phylli cerf portrait upright alt photo rand rand
Ayn Rand,Atlas Shrugged (1957 1st ed) - Ayn Rand.jpg,atla shrug ed ayn rand upright alt dust jacket atla shrug depict railroad track atla shrug sold million copi sfn offord
Ayn Rand,TDTP08.JPG,alt man hold poster quot john galt quot protester' sign tea parti ralli refer john galt hero rand' atla shrug
Alain Connes,Villeneuve-d'Ascq - IUT A - Alain Connes - 3.jpg,villeneuv d'ascq iut alain conn alain conn confer villeneuv d'ascq
Algeria,Djémila-109038.jpg,djémila roman ruin djémila
Algeria,Timgad rue.jpg,timgad rue ancient roman empir roman ruin timgad street lead local arch trajan timgad arch trajan
Algeria,GM Massinissa.png,gm massinissa masinissa amp nbsp amp nbsp bc king numidia
Algeria,Justinian555AD.png,land compris modern day algeria part byzantin north africa empir justinian great greatest extent fall western roman empir vassal state vassal pink
Algeria,Side face (2).jpg,side face upright roman inscript agueneb provinc laghouat
Algeria,Fatimid.jpg,fatimid upright fatimid caliph shia islam shia isma'il ismaili dynasti rule north africa amp nbsp
Algeria,Statue of Dyhia in Khenchela (Algeria).jpg,statu dyhia khenchela algeria upright dihya memori khenchela algeria
Algeria,Maghrawa dynasty - dynastie maghraoua.jpg,maghrawa dynasti dynasti maghraoua territori control maghrawid dynasti maghrawa
Algeria,Mansourah-1.jpg,mansourah mansourah mosqu tlemcen
Algeria,Maghreb 15th Century.svg,maghreb centuri upright kingdom tlemcen zayyanid kingdom tlemcen fifteenth centuri neighbor
Algeria,Barbarossa Hayreddin Pasha.jpg,barbarossa hayreddin pasha upright hayreddin barbarossa
Algeria,"North Africa, from the &quot;Physical And Political Map Of Africa ... 1822&quot;.png",plagu diseas plagu repeatedli struck citi north africa algier lost inhabit plagu high fatal lt ref quot davi quot gt cite book author robert davi titl christian slave muslim master white slaveri mediterranean barbari coast itali publish palgrav macmillan year isbn url http archiv org detail trent url access registr lt ref gt north africa quot physic polit map africa quot map regenc algier earli centuri
Algeria,"Portrait de Baba Ali, Dey d'Alger.jpg",portrait de baba ali dey d'alger upright baba ali chaouch dey algier
Algeria,Niels simonsen Alger 2.jpg,niel simonsen alger algier niel simonsen
Algeria,"De Engels-Nederlandse vloot in de Baai van Algiers ter ondersteuning van het ultimatum tot vrijlating van blanke slaven, 26 augustus 1816. Rijksmuseum SK-A-1377.jpeg",de engel nederlands vloot de baai van algier ter ondersteun van het ultimatum tot vrijlat van blank slaven augustu rijksmuseum sk bombard algier bombard algier anglo dutch fleet support ultimatum releas european slave august
Algeria,Vernet-Combat de Somah.jpg,vernet combat de somah battl somah
Algeria,Abd al-Qadir.jpg,abd al qadir upright abdelkad el djezairi emir abdelkad algerian leader insurg french coloni rule
Algeria,Six chefs FLN - 1954.jpg,chef fln histor leader fln rabah bitat mustapha benboulaïd mostefa ben boulaïd didouch mourad moham boudiaf krim belkacem larbi ben m'hidi
Algeria,Houari Boumediene's Portrait.jpg,houari boumediene' portrait upright houari boumedien
Algeria,Algerian massacres 1997-1998.png,algerian massacr list massacr algerian civil war massacr peopl arm islam group arm islam group gia claim respons
Algeria,Algeria relief.png,algeria relief sahara hoggar mountain atla mountain compos algerian relief
Algeria,Dunes.jpg,dune algerian desert make country' total area lt ref gt cite web titl earth space algerian sand url http www esa int applic observ earth earth space algerian sand access date websit www esa int languag en lt ref gt
Algeria,Djurdjura mountains.jpg,djurdjura mountain babor mountain jijel coast erraguen lake
Algeria,Koppen-Geiger Map DZA present.svg,koppen geiger map dza present algeria map köppen climat classif
Algeria,Vulpes zerda.JPG,vulp zerda fennec fox nation anim algeria
Algeria,Abdelmadjid Tebboune 20200119.jpg,abdelmadjid tebboun upright abdelmadjid tebboun presid algeria
Algeria,Hémicycle de l'assemblée populaire nationale (Algérie).jpg,hémicycl de l'assemblé populair national algéri people' nation assembl
