CMDLINE C:\Users\arsal\AppData\Local\Programs\Python\Python312\python.exe index_search.py
MEM 206.937500 1708734671.7476
MEM 207.093750 1708734671.8482
MEM 207.250000 1708734671.9487
MEM 207.410156 1708734672.0493
MEM 207.574219 1708734672.1500
MEM 207.699219 1708734672.2505
MEM 207.812500 1708734672.3512
MEM 208.007812 1708734672.4518
MEM 208.164062 1708734672.5524
MEM 208.328125 1708734672.6530
MEM 208.492188 1708734672.7536
MEM 208.679688 1708734672.8542
MEM 208.847656 1708734672.9548
MEM 209.015625 1708734673.0554
MEM 209.183594 1708734673.1560
MEM 209.355469 1708734673.2566
MEM 209.531250 1708734673.3572
MEM 210.597656 1708734673.4578
MEM 210.757812 1708734673.5584
MEM 210.941406 1708734673.6590
MEM 211.085938 1708734673.7595
MEM 211.253906 1708734673.8601
MEM 211.414062 1708734673.9606
MEM 211.535156 1708734674.0612
MEM 211.609375 1708734674.1618
MEM 211.769531 1708734674.2624
MEM 211.929688 1708734674.3630
MEM 212.109375 1708734674.4635
MEM 212.277344 1708734674.5640
MEM 212.410156 1708734674.6646
MEM 212.554688 1708734674.7652
MEM 212.707031 1708734674.8658
MEM 212.851562 1708734674.9664
MEM 213.007812 1708734675.0670
MEM 213.179688 1708734675.1676
MEM 213.339844 1708734675.2682
MEM 213.488281 1708734675.3688
MEM 213.636719 1708734675.4693
MEM 213.800781 1708734675.5698
MEM 213.968750 1708734675.6705
MEM 214.125000 1708734675.7711
MEM 214.285156 1708734675.8717
MEM 214.488281 1708734675.9723
MEM 214.667969 1708734676.0729
MEM 214.835938 1708734676.1735
MEM 215.000000 1708734676.2741
MEM 215.171875 1708734676.3747
MEM 215.328125 1708734676.4752
MEM 215.492188 1708734676.5757
MEM 215.652344 1708734676.6763
MEM 215.800781 1708734676.7769
MEM 215.953125 1708734676.8774
MEM 216.117188 1708734676.9780
MEM 216.277344 1708734677.0785
MEM 216.425781 1708734677.1790
MEM 216.566406 1708734677.2795
MEM 216.734375 1708734677.3800
MEM 216.882812 1708734677.4805
MEM 217.050781 1708734677.5810
MEM 217.222656 1708734677.6815
MEM 217.386719 1708734677.7821
MEM 217.531250 1708734677.8826
MEM 217.691406 1708734677.9831
MEM 217.812500 1708734678.0836
MEM 217.996094 1708734678.1841
MEM 218.152344 1708734678.2846
MEM 218.308594 1708734678.3852
MEM 218.453125 1708734678.4857
MEM 218.605469 1708734678.5862
MEM 218.750000 1708734678.6867
MEM 218.914062 1708734678.7873
MEM 219.078125 1708734678.8879
MEM 219.242188 1708734678.9885
MEM 219.394531 1708734679.0890
MEM 219.531250 1708734679.1896
MEM 219.664062 1708734679.2902
MEM 219.820312 1708734679.3908
MEM 219.996094 1708734679.4914
MEM 220.144531 1708734679.5920
MEM 220.320312 1708734679.6926
MEM 220.468750 1708734679.7931
MEM 220.617188 1708734679.8937
MEM 220.781250 1708734679.9942
MEM 220.910156 1708734680.0948
MEM 221.031250 1708734680.1953
MEM 221.035156 1708734680.2959
MEM 221.156250 1708734680.3965
MEM 221.304688 1708734680.4971
MEM 221.460938 1708734680.5976
MEM 221.613281 1708734680.6982
MEM 221.757812 1708734680.7987
MEM 221.902344 1708734680.8993
MEM 222.058594 1708734680.9999
MEM 222.203125 1708734681.1004
MEM 222.621094 1708734681.2010
MEM 222.785156 1708734681.3015
MEM 222.925781 1708734681.4022
MEM 223.070312 1708734681.5027
MEM 223.226562 1708734681.6033
MEM 223.390625 1708734681.7039
MEM 223.531250 1708734681.8045
MEM 223.683594 1708734681.9050
MEM 223.816406 1708734682.0056
MEM 224.097656 1708734682.1062
MEM 224.257812 1708734682.2069
MEM 224.406250 1708734682.3075
MEM 224.562500 1708734682.4081
MEM 224.722656 1708734682.5087
MEM 224.875000 1708734682.6093
MEM 225.031250 1708734682.7099
MEM 225.160156 1708734682.8105
MEM 225.347656 1708734682.9110
MEM 225.347656 1708734683.0115
MEM 225.347656 1708734683.1121
MEM 225.359375 1708734683.2123
MEM 231.988281 1708734683.3128
MEM 240.375000 1708734683.4133
MEM 249.527344 1708734683.5140
MEM 252.566406 1708734683.6146
MEM 255.183594 1708734683.7151
MEM 262.863281 1708734683.8156
MEM 270.523438 1708734683.9162
MEM 268.550781 1708734684.0167
MEM 250.558594 1708734684.1172
MEM 250.558594 1708734684.2177
MEM 174.265625 1708734684.3183
