doc_id,title,filenames,captions
67,Alabama,Center Court of the Riverchase Galleria.jpg,court riverchas galleria upright riverchas galleria hoover largest shop center southeast
68,Alabama,Enterprise lifted.jpg,enterpris lift upright space shuttl enterpris space shuttl enterpris test marshal space flight
69,Alabama,Hyundai Motor Manufacturing Alabama Highsmith 01.jpg,hyundai motor manufactur alabama highsmith hyundai motor manufactur alabama montgomeri
70,Alabama,Shelbyhallcomputing.JPG,shelbyhallcomput shelbi hall school comput univers south alabama mobil
71,Alabama,Mercedes Benz US International 01.jpg,merced benz intern merced benz intern tuscaloosa counti automot facil locat state
72,Alabama,Airbus Mobile Engineering Center.jpg,airbu mobil engin airbu mobil engin brookley aeroplex mobil
73,Alabama,"Orange Beach, Alabama.jpg",orang beach alabama alabama' beach state' major tourist destin
74,Alabama,Mardi&amp;nbsp;Gras&amp;nbsp;Mobile&amp;nbsp;Order of Inca.jpg,mardi amp nbsp gra amp nbsp mobil amp nbsp order inca upright mobil birthplac mardi gra
75,Alabama,Birmingham skyscrapers Nov 2011.jpg,birmingham skyscrap nov region harbert plaza region birmingham region well fargo tower birmingham well fargo tower birmingham' financi district
76,Alabama,Alabama Capitol Building.jpg,alabama capitol build alabama state capitol state capitol build montgomeri complet
77,Alabama,Ala Supreme Court Building Feb 2012 01.jpg,ala suprem court build feb alabama judici build heflin torbert judici build montgomeri hous suprem court alabama alabama court civil appeal alabama court crimin appeal
78,Alabama,Portrait-Governor-Kay-Ivey.jpg,portrait governor kay ivey upright republican parti unit state republican kay ivey governor alabama
79,Alabama,Doug Jones Biden Event.jpg,doug jone biden event senat doug jone politician doug jone won unit state senat special elect alabama special elect
80,Alabama,Vestavia Hills High School.jpg,vestavia hill high school vestavia hill high school suburb birmingham
81,Alabama,Harrison-plaza2.jpg,harrison harrison plaza univers north alabama florenc school charter lagrang colleg alabama legislatur
82,Alabama,William J. Samford Hall.jpg,william samford hall william samford hall auburn univers
83,Alabama,"Bryant–Denny Stadium, Tuscaloosa AL, North view 20160714 1.jpg",bryant denni stadium tuscaloosa al north view bryant denni stadium univers alabama tuscaloosa
84,Alabama,RegionsFieldBham.png,regionsfieldbham region field birmingham
85,Alabama,Aerial view of Von Braun Center.jpg,aerial view von braun von braun huntsvil
86,Alabama,Birmingham–Jefferson Convention Complex tennis.jpg,birmingham jefferson convent complex tenni birmingham jefferson convent complex birmingham
87,Alabama,Montgomery Regional Airport New Terminal.JPG,montgomeri region airport termin termin montgomeri region airport montgomeri
88,Alabama,I20I59Birmingham.JPG,interst sign interst approach interst downtown birmingham
89,Alabama,Mobile Alabama harbor aerial view.jpg,mobil alabama harbor aerial view aerial view port mobil
90,Achilles,Peter Paul Rubens 181.jpg,peter paul ruben theti dip infant achil river styx peter paul ruben lk museum boijman van beuningen rotterdam
91,Achilles,The Education of Achilles 1862 Delacroix.jpg,educ achil delacroix educ achil eugèn delacroix pastel paper lk getti lo angel
92,Achilles,"The Education of Achilles, by James Barry.jpg",educ achil jame barri educ achil circa jame barri painter jame barri yale british art sourc statiu make refer gener invulner contrari iliad homer mention achil wound book paeonia kingdom paeonian hero asteropaio son pelagon challeng achil river scamand ambidextr cast spear hand graze achil elbow quot draw spurt blood quot lt ref gt cite book homer robert fagl translat titl iliad page quot spear graze achil strong arm dark blood gush spear shot past back lt ref gt fragmentari poem epic cycl describ hero' death cypria iliad lesch lesch pyrrha aethiopi iliupersi arctinu miletu trace refer gener invulner famou weak heel vase paint present death achil arrow case arrow hit torso
93,Achilles,Achilleus Lyra.jpg,achilleu lyra chiron teach achil play lyre roman fresco herculaneum centuri ad
94,Achilles,Gaziantep Zeugma Museum Achilles mosaic in 2011 2098.jpg,gaziantep zeugma museum achil mosaic roman mosaic poseidon villa zeugma commagen zeugma mosaic museum depict achil disguis woman odysseu trick reveal
95,Achilles,Achilles by Lycomedes Louvre Ma2120.jpg,achil lycomed louvr marbl represent achil court king lycomed ca ce
96,Achilles,Achilles slaying Troilus.PNG,achil slay troilu achil slay troilu red figur kylix sign euphronio
97,Achilles,Achilles Agamemnon Pompei mosaic NAMNaples 10006.jpg,achil agamemnon pompei mosaic namnapl achil agamemnon mosaic pompeii centuri ad
98,Achilles,Wall painting - Briseis taken away from Achilles - Pompeii (VI 8 5) - Napoli MAN 9105 - 01.jpg,wall paint brisei achil pompeii vi napoli man achil cede brisei agamemnon hous tragic poet pompeii fresco centuri ad napl nation archaeolog museum
99,Achilles,The Rage of Achilles by Giovanni Battista Tiepolo.jpeg,rage achil giovanni battista tiepolo rage achil fresco giovanni battista tiepolo villa valmarana ai nani vicenza
100,Achilles,The_Triumph_of_Achilles_by_Franz_von_Matsch.jpg,triumph achil franz von matsch upright triumph achil fresco franz von matsch achilleion corfu achilleion greec
101,Achilles,Akhilleus Memnon Staatliche Antikensammlungen 1410.jpg,akhilleu memnon staatlich antikensammlungen achil memnon fight theti eo attic black figur amphora circa bc vulci
102,Achilles,Akhilleus Patroklos Antikensammlung Berlin F2278.jpg,akhilleu patroklo antikensammlung berlin achil tend patroclu wound arrow attic red figur kylix circa bc alt museum berlin
103,Achilles,Closeup of Achilles thniskon in Corfu Achilleion autocorrected.JPG,closeup achil thniskon corfu achilleion autocorrect die achil achillea thniskon garden achilleion
104,Achilles,Aias body Akhilleus Staatliche Antikensammlungen 1884.jpg,aia bodi akhilleu staatlich antikensammlungen ajax carri bodi achil attica attic black figur lekytho sicili circa bc staatlich antikensammlungen munich
105,Achilles,Odysseus Ajax Louvre F340.jpg,odysseu ajax louvr oinocho ca bc ajax great ajax odysseu fight armour achil
106,Achilles,Tumulus_of_Achilles_and_sacrifice_of_Polyxena.jpg,tumulu achil sacrific polyxena sacrific polyxena tumulu shape tomb achil sacrifici tripod ancient greec tripod front polyxena sarcophagu circa lk bc lt ref quot quot gt cite book rose charl brian titl archaeolog greek roman troy date publish cambridg univers press isbn page url http book googl book id amp pg languag en lt ref gt
107,Achilles,Achilles Troilus MAN Napoli Inv5999.jpg,achil troilu man napoli roman statu man dead bodi boy identifi achil troilu centuri ad napl nation archaeolog museum heroön multipl imag align direct vertic header header align footer achil skyro amp nbsp achilleid amp nbsp odysseu discov dress woman hide princess royal court late roman mosaic la olmeda spain centuri ad footer align mosaico del oecu aquil en skyro alta achil skyro mosaic villa la olmeda centuri ad detail achil
108,Achilles,Wenceslas Hollar - Briseis and Achilles.jpg,wencesla hollar brisei achil brisei achil engrav wenceslau hollar
109,Achilles,Peter Paul Rubens - The Wrath of Achilles - Google Art Project.jpg,peter paul ruben wrath achil googl art project wrath achil lk paint peter paul ruben
110,Achilles,Peter Paul Rubens 003.jpg,peter paul ruben death hector unfinish oil paint peter paul ruben
111,Achilles,Gottlieb Schick Achille and Agamemnon 1801.jpg,gottlieb schick achil agamemnon upright achil agamemnon gottlieb schick
112,Achilles,Leon Benouville The Wrath of Achilles.jpg,leon benouvil wrath achil wrath achil françoi léon benouvil musé fabr
113,Abraham Lincoln,Log Cabin at the Lincoln Living Historical Farm.jpg,log cabin lincoln live histor farm farm site lincoln grew spencer counti indiana
114,Abraham Lincoln,Abes House.JPG,abe hous lincoln' home springfield illinoi
115,Abraham Lincoln,"Abraham Lincoln by Nicholas Shepherd, 1846-crop.jpg",abraham lincoln nichola shepherd crop upright alt middl age clean shaven lincoln hip lincoln late member unit state hous repres hous repres photo lincoln' law student
116,Abraham Lincoln,"Abraham Lincoln by Hesler, 1857.jpg",abraham lincoln hesler upright lincoln
117,Abraham Lincoln,"Abraham Lincoln by Byers, 1858 - crop.jpg",abraham lincoln byer crop upright lincoln year lincoln dougla debat debat stephen dougla stephen dougla slaveri
118,Abraham Lincoln,"Lincoln O-17 by Brady, 1860.png",lincoln bradi abraham lincoln portrait mathew bradi februari day lincoln' cooper union speech
119,Abraham Lincoln,"Abraham Lincoln O-55, 1861-crop.jpg",abraham lincoln crop alt presid abraham lincoln presid lincoln
120,Abraham Lincoln,RunningtheMachine-LincAdmin.jpg,runningthemachin lincadmin alt group men sit tabl man creat money wooden machin run machin polit cartoon satir lincoln' administr featur william fessenden edwin stanton william seward william seward gideon well lincoln
121,Abraham Lincoln,"Lincoln's Gettysburg Address, Gettysburg, highlighted version.png",lincoln' gettysburg address gettysburg highlight version upright lincoln absent usual top hat highlight red gettysburg battlefield gettysburg novemb roughli hour deliv gettysburg address speech histori unit state american histori lt ref gt cite book conant sean date titl gettysburg address perspect lincoln' greatest speech url http book googl book id bmybwaaqbaj amp pg locat york publish oxford univers press page ix isbn lt ref gt lt ref gt cite book holsing paul date titl war american popular cultur histor encyclopedia url http book googl book id amp pg locat westport ct publish greenwood press page isbn lt ref gt alt larg group peopl
122,Abraham Lincoln,ElectoralCollege1864.svg,upright alt map show lincoln win union state kentucki jersey delawar southern state includ elector colleg unit state elector landslid lincoln red elect southern state brown territori gray play
123,Abraham Lincoln,Republican presidential ticket 1864b.jpg,republican presidenti ticket poster elect campaign andrew johnson candid vice presid
124,Abraham Lincoln,Abraham Lincoln second inaugural address.jpg,abraham lincoln inaugur address alt larg crowd front larg build pillar lincoln' abraham lincoln' inaugur address inaugur address complet capitol build march
125,Abraham Lincoln,Lincoln and Johnsond.jpg,lincoln johnsond alt cartoon lincoln johnson attempt stitch broken union polit cartoon vice presid andrew johnson tailor lincoln entitl rail splitter work repair union caption read johnson quot quietli uncl abe draw closer quot lincoln quot stitch andi good union mend quot
126,Abraham Lincoln,Lincoln assassination slide c1900 - Restoration.jpg,lincoln assassin slide restor alt paint lincoln shot booth sit theater booth shown presidenti booth ford' theatr assassin john wilk booth abraham lincoln mari todd lincoln clara harri henri rathbon
127,Abraham Lincoln,AbrahamLincolnOilPainting1869Restored.jpg,upright alt lincoln sit hand chin elbow leg abraham lincoln heali abraham lincoln paint georg peter alexand heali
128,Abraham Lincoln,"Abraham Lincoln O-116 by Gardner, 1865-crop.png",abraham lincoln gardner crop upright alt older tire abraham lincoln beard lincoln februari month death
129,Aristotle,20160518 092 mieza nympheum.jpg,mieza nympheum school aristotl mieza macedonia mieza macedonia greec macedonia greec
130,Aristotle,Aristotle_tutoring_Alexander.jpg,aristotl tutor alexand upright quot aristotl tutor alexand quot jean leon gerom ferri
131,Aristotle,Aristoteles Louvre.jpg,aristotel louvr upright bust sculptur portrait bust aristotl roman empir imperi roman centuri ce copi lost bronz sculptur made lysippo
132,Aristotle,Modus Barbara Equations.svg,amp nbsp amp nbsp amp nbsp amp nbsp men mortal lt br gt lt br gt amp nbsp amp nbsp amp nbsp amp nbsp greek men lt br gt lt br gt sign greek mortal lt br gt lt br gt lt br gt lt br gt modu barbara equat
133,Aristotle,Sanzio 01 Plato Aristotle.jpg,sanzio plato aristotl upright plato aristotl raphael fresco school athen aristotl hold nicomachean ethic gestur earth repres view imman realism whilst plato gestur heaven indic theori form hold timaeu dialogu timaeu sfn school athen sfn stewart
134,Aristotle,Platonic and Aristotelian Forms.svg,platon aristotelian form upright plato theori form form exist univers ideal form appl aristotl matter form belong individu thing hylomorph
135,Aristotle,Flute-player dolphin Alcesti Group MAN.jpg,flute player dolphin alcesti group man aristotl argu capabl play flute acquir potenti actual aristotl potenti made actual learn
136,Aristotle,Four Classical Elements in Burning Log.svg,classic element burn log classic element fire air water earth empedocl aristotl illustr burn log log releas element destroy
137,Aristotle,Aristotle's laws of motion.svg,aristotle' law motion upright aristotle' law motion physic aristotl physic state object fall speed proport weight invers proport densiti fluid immers sfn drabkin pp correct approxim object earth' gravit field move air water sfn rovelli pp
138,Aristotle,Aristotle's Four Causes of a Table.svg,aristotle' tabl upright aristotl argu analog woodwork thing take form case tabl wood materi design formal tool techniqu effici decor practic purpos final sfn leroi page
139,Aristotle,Aerial image of Stromboli (view from the northeast).jpg,aerial imag stromboli view northeast aristotl note ground level aeolian island chang volcan erupt
140,Aristotle,Tremoctopus violaceus5.jpg,tremoctopu upright pioneer zoolog observ aristotl reproduct hectocotylu hectocotyl arm octopu bottom
141,Aristotle,Two of Aristotle's Growth Laws.svg,aristotle' growth law upright aristotl infer growth law observ anim includ brood size decreas bodi mass gestat period increas correct predict mammal data shown mous eleph
142,Aristotle,Scyliorhinus retifer embryo.JPG,scyliorhinu retif embryo aristotl record embryo mustelu cani lt speci shown gt dogfish attach cord kind placenta yolk sac higher anim form except linear scale highest lowest sfn leroi page
143,Aristotle,Aristotelian Soul.png,aristotelian soul upright aristotl propos part soul aristotl structur soul plant anim human make human uniqu type soul
144,Aristotle,Aristotle Senses Perception Memory Dreams Action.svg,aristotl sens percept memori dream action upright sens percept memori dream action aristotle' psycholog impress store sensorium heart link law associ similar contrast contigu psycholog contigu
145,Aristotle,Aristotle's constitutions.svg,aristotle' constitut upright aristotle' classif polit constitut
146,Aristotle,"Bénigne Gagneraux, The Blind Oedipus Commending his Children to the Gods.jpg",bénign gagneraux blind oedipu commend children god upright blind oedipu commend children god bénign gagneraux poetic aristotl poetic aristotl tragedi oedipu rex oedipu tyrannu sophocl perfect tragedi structur gener good protagonist start play prosper lose hamartia fault sfn kaufmann page
147,Aristotle,161Theophrastus 161 frontespizio.jpg,frontespizio upright book frontispiec frontispiec version theophrastu historia plantarum theophrastu historia plantarum origin written bce
148,Aristotle,"Ibn_Bakhtīshūʿ,_Kitāb_naʿt_al-ḥayawān_probably_Baghdad,_c._1225._London,_British_Library,_Or._2784,_A_student_sitting_with_Aristotle_(right).jpg",ibn bakhtīshūʿ kitāb naʿt al ḥayawān baghdad london british librari student sit aristotl upright islam portray aristotl kitāb naʿt al ḥayawān circa lt ref gt cite book contadini anna titl world beast thirteenth centuri illustr arab book anim kitāb na't al ḥayawān ibn bakhtīshū tradit date januari doi publish brill url http doi org page lt ref gt
149,Aristotle,William Harvey ( 1578-1657) Venenbild.jpg,william harvey venenbild william harvey exercitatio anatomica de motu cordi sanguini animalibu de motu cordi show circul blood blood circul contrari classic era think
150,Aristotle,Aristotelis De Moribus ad Nicomachum.jpg,aristot de moribu ad nicomachum upright page edit nicomachean ethic greek latin
151,Academy Awards,DSC 7227 Музей кино.jpg,dsc музей кино plaster war time oscar plaqu state central museum cinema moscow ru государственный центральный музей кино ru
152,Academy Awards,31st Acad Awards.jpg,acad award academi award present lt br gt pantag theatr hollywood pantag theatr hollywood
153,Academy Awards,81st Academy Awards Ceremony.JPG,academi award ceremoni academi award present lt br gt dolbi theatr hollywood
154,Academy Awards,Dolby Theatre Oscars Los Angeles USA Mar23 IMG 8321.jpg,dolbi theatr oscar lo angel usa img academi award dolbi theatr hollywood lo angel hollywood
155,Academy Awards,"Academy Awards Viewership 1974-2023, in millions.png",academi award viewership million academi award viewership million lt ref gt cite web url http www statista statist academi award number viewer text number amp text million titl oscar viewership year lt ref gt lt ref gt cite web url http tvbythenumb blockbust pictur expect academi award viewership fall rate histori guess year poll titl academi award tv rate histori rate amp tvbythenumb date decemb archiv url http web archiv org web http tvbythenumb blockbust pictur expect academi award viewership fall rate histori guess year poll archiv date decemb lt ref gt
156,Altruism,Belisaire demandant l'aumone Jacques-Louis David.jpg,belisair demand l'aumon jacqu loui david give alm poor consid altruist action
157,Altruism,"Manner of Francis Wheatley, Giving alms to beggar children.jpg",manner franci wheatley give alm beggar children upright give alm beggar children
158,Altruism,FEMA - 15337 - Photograph by Andrea Booher taken on 09-10-2005 in Texas.jpg,fema photograph andrea booher texa volunt assist hurrican victim houston astrodom hurrican katrina
159,Altruism,Helping the homeless (cropped).jpg,help homeless crop help homeless homeless york citi
160,Altruism,"Peace Corps Volunteer swearing in Cambodia, 2007.jpg",peac corp volunt swear cambodia peac corp traine swear volunt cambodia april
161,Altruism,Monks collecting alms - Bun Vat Phu.JPG,monk collect alm bun vat phu monk collect alm
162,Altruism,Ahinsa.jpg,ahinsa sculptur depict jain concept transliter sa ahimsa injuri
163,Ayn Rand,Pola Negri by Ayn Rand cover.jpg,pola negri ayn rand cover upright alt book cover black white draw text russian rand' publish work monograph russian actress pola negri
164,Ayn Rand,Night of January 16th jury flyer front.jpg,night januari juri flyer front upright alt poster play night januari rand' play night januari amp nbsp open broadway
165,Ayn Rand,The Fountain Head (1943 1st ed) - Ayn Rand.jpg,fountain head ed ayn rand upright alt front cover fountainhead fountainhead rand' bestsel
166,Ayn Rand,Famous fantastic mysteries 195306.jpg,famou fantast mysteri upright alt magazin cover man hold lightn bolt rand' novella anthem reprint june issu pulp magazin famou fantast mysteri lt ref gt ralston richard quot publish anthem quot harvnb mayhew lt ref gt
167,Ayn Rand,Ayn Rand Marker.jpg,ayn rand marker alt twin graveston frank o'connor ayn rand o'connor grave marker rand husband kensico cemeteri valhalla york sfn heller
168,Ayn Rand,Victor Hugo by Étienne Carjat 1876 - full.jpg,victor hugo étienn carjat full upright alt photo victor hugo rand admir novel victor hugo
169,Ayn Rand,Ayn Rand (1957 Phyllis Cerf portrait).jpg,ayn rand phylli cerf portrait upright alt photo rand rand
170,Ayn Rand,Atlas Shrugged (1957 1st ed) - Ayn Rand.jpg,atla shrug ed ayn rand upright alt dust jacket atla shrug depict railroad track atla shrug sold million copi sfn offord
171,Ayn Rand,TDTP08.JPG,alt man hold poster quot john galt quot protester' sign tea parti ralli refer john galt hero rand' atla shrug
172,Alain Connes,Villeneuve-d'Ascq - IUT A - Alain Connes - 3.jpg,villeneuv d'ascq iut alain conn alain conn confer villeneuv d'ascq
173,Algeria,Djémila-109038.jpg,djémila roman ruin djémila
174,Algeria,Timgad rue.jpg,timgad rue ancient roman empir roman ruin timgad street lead local arch trajan timgad arch trajan
175,Algeria,GM Massinissa.png,gm massinissa masinissa amp nbsp amp nbsp bc king numidia
176,Algeria,Justinian555AD.png,land compris modern day algeria part byzantin north africa empir justinian great greatest extent fall western roman empir vassal state vassal pink
177,Algeria,Side face (2).jpg,side face upright roman inscript agueneb provinc laghouat
178,Algeria,Fatimid.jpg,fatimid upright fatimid caliph shia islam shia isma'il ismaili dynasti rule north africa amp nbsp
179,Algeria,Statue of Dyhia in Khenchela (Algeria).jpg,statu dyhia khenchela algeria upright dihya memori khenchela algeria
180,Algeria,Maghrawa dynasty - dynastie maghraoua.jpg,maghrawa dynasti dynasti maghraoua territori control maghrawid dynasti maghrawa
181,Algeria,Mansourah-1.jpg,mansourah mansourah mosqu tlemcen
182,Algeria,Maghreb 15th Century.svg,maghreb centuri upright kingdom tlemcen zayyanid kingdom tlemcen fifteenth centuri neighbor
183,Algeria,Barbarossa Hayreddin Pasha.jpg,barbarossa hayreddin pasha upright hayreddin barbarossa
184,Algeria,"North Africa, from the &quot;Physical And Political Map Of Africa ... 1822&quot;.png",plagu diseas plagu repeatedli struck citi north africa algier lost inhabit plagu high fatal lt ref quot davi quot gt cite book author robert davi titl christian slave muslim master white slaveri mediterranean barbari coast itali publish palgrav macmillan year isbn url http archiv org detail trent url access registr lt ref gt north africa quot physic polit map africa quot map regenc algier earli centuri
185,Algeria,"Portrait de Baba Ali, Dey d'Alger.jpg",portrait de baba ali dey d'alger upright baba ali chaouch dey algier
186,Algeria,Niels simonsen Alger 2.jpg,niel simonsen alger algier niel simonsen
187,Algeria,"De Engels-Nederlandse vloot in de Baai van Algiers ter ondersteuning van het ultimatum tot vrijlating van blanke slaven, 26 augustus 1816. Rijksmuseum SK-A-1377.jpeg",de engel nederlands vloot de baai van algier ter ondersteun van het ultimatum tot vrijlat van blank slaven augustu rijksmuseum sk bombard algier bombard algier anglo dutch fleet support ultimatum releas european slave august
188,Algeria,Vernet-Combat de Somah.jpg,vernet combat de somah battl somah
189,Algeria,Abd al-Qadir.jpg,abd al qadir upright abdelkad el djezairi emir abdelkad algerian leader insurg french coloni rule
190,Algeria,Six chefs FLN - 1954.jpg,chef fln histor leader fln rabah bitat mustapha benboulaïd mostefa ben boulaïd didouch mourad moham boudiaf krim belkacem larbi ben m'hidi
191,Algeria,Houari Boumediene's Portrait.jpg,houari boumediene' portrait upright houari boumedien
